employee_id,first_name,last_name,job_title,department,employment_status,hire_date,date_of_birth,gender,work_email,company,location
EMP-0056,Adaeze,Upshaw,VP Marketing,Marketing Operations,Active,2017-02-01,1974-04-18,Male,adaeze.upshaw@bramwellsm.com,"Bramwell Scientific Marketing, LLC","Cambridge, MA"
EMP-0057,Petra,Aldercott,Director of Marketing,Marketing Operations,Active,2018-05-14,1982-03-14,Male,petra.aldercott@bramwellsm.com,"Bramwell Scientific Marketing, LLC","Cambridge, MA"
EMP-0058,Bianca,Rathbone,Procurement Director,Finance,Active,2017-09-11,1973-05-15,Female,bianca.rathbone@bramwellsm.com,"Bramwell Scientific Marketing, LLC","Cambridge, MA"
EMP-0059,Tobias,Abernathy,Vice President,Client Strategy,Active,2016-11-03,1975-02-15,Male,tobias.abernathy@bramwellsm.com,"Bramwell Scientific Marketing, LLC","Cambridge, MA"
EMP-0060,Miles,Merriweather,Senior Account Manager,Compliance,Active,2024-02-02,1985-02-25,Female,miles.merriweather@bramwellsm.com,"Bramwell Scientific Marketing, LLC","Cambridge, MA"
EMP-0061,Emory,Farnsworth,Account Manager,Creative,Active,2019-03-14,2000-08-07,Female,emory.farnsworth@bramwellsm.com,"Bramwell Scientific Marketing, LLC","Cambridge, MA"
EMP-0062,Anouk,Vellacott,Senior Analyst,Client Strategy,Active,2022-01-06,1997-01-13,Male,anouk.vellacott@bramwellsm.com,"Bramwell Scientific Marketing, LLC","Cambridge, MA"
EMP-0063,Otto,Hargrove,Associate Account Manager,Client Strategy,Active,2020-08-10,1998-12-24,Female,otto.hargrove@bramwellsm.com,"Bramwell Scientific Marketing, LLC","Cambridge, MA"
EMP-0064,Marguerite,Grantham,Senior Analyst,Client Strategy,Active,2024-11-23,2000-03-07,Male,marguerite.grantham@bramwellsm.com,"Bramwell Scientific Marketing, LLC","Cambridge, MA"
EMP-0065,Barnaby,Calloway,Account Manager,Paid Media,Active,2020-04-02,1986-12-11,Male,barnaby.calloway@bramwellsm.com,"Bramwell Scientific Marketing, LLC","Cambridge, MA"
EMP-0066,Noor,Brennock,Senior Account Manager,Finance,Active,2016-01-19,2000-09-28,Female,noor.brennock@bramwellsm.com,"Bramwell Scientific Marketing, LLC","Cambridge, MA"
EMP-0067,Delphine,Lindqvist,Account Manager,Creative,Active,2024-03-02,2001-02-28,Male,delphine.lindqvist@bramwellsm.com,"Bramwell Scientific Marketing, LLC","Cambridge, MA"
EMP-0068,Ines,Braithwaite,Senior Analyst,Client Strategy,Active,2018-02-20,1987-11-28,Male,ines.braithwaite@bramwellsm.com,"Bramwell Scientific Marketing, LLC","Cambridge, MA"
EMP-0069,Camille,Underhill,Senior Analyst,Compliance,Active,2019-07-04,1992-10-20,Female,camille.underhill@bramwellsm.com,"Bramwell Scientific Marketing, LLC","Cambridge, MA"
EMP-0070,Solveig,Isherwood,Account Manager,Paid Media,Active,2016-10-03,1998-11-19,Female,solveig.isherwood@bramwellsm.com,"Bramwell Scientific Marketing, LLC","Cambridge, MA"
EMP-0071,Aveline,Ingersoll,Account Manager,Client Strategy,Active,2025-09-11,1993-04-22,Female,aveline.ingersoll@bramwellsm.com,"Bramwell Scientific Marketing, LLC","Cambridge, MA"
EMP-0072,Esme,Waverly,Creative Director,Compliance,Active,2021-04-09,1980-03-22,Female,esme.waverly@bramwellsm.com,"Bramwell Scientific Marketing, LLC","Cambridge, MA"
EMP-0073,Wilhelmina,Gantry,Associate Account Manager,Client Strategy,Active,2020-08-11,1987-01-15,Male,wilhelmina.gantry@bramwellsm.com,"Bramwell Scientific Marketing, LLC","Cambridge, MA"
EMP-0074,Genevieve,Stanfield,Account Manager,Client Strategy,Active,2025-10-04,1987-09-07,Female,genevieve.stanfield@bramwellsm.com,"Bramwell Scientific Marketing, LLC","Cambridge, MA"
EMP-0075,Corbin,Vandermeer,Senior Account Manager,Client Strategy,Active,2024-05-05,1996-02-08,Male,corbin.vandermeer@bramwellsm.com,"Bramwell Scientific Marketing, LLC","Cambridge, MA"
EMP-0076,Cormac,Trelawny,Associate Account Manager,Paid Media,Active,2021-05-06,1999-09-23,Male,cormac.trelawny@bramwellsm.com,"Bramwell Scientific Marketing, LLC","Cambridge, MA"
EMP-0077,Dashiell,Ostrander,Senior Account Manager,Client Strategy,Active,2020-10-26,2001-01-22,Male,dashiell.ostrander@bramwellsm.com,"Bramwell Scientific Marketing, LLC","Cambridge, MA"
EMP-0078,Callum,Carrow,Account Manager,Client Strategy,Active,2024-05-22,1988-03-09,Female,callum.carrow@bramwellsm.com,"Bramwell Scientific Marketing, LLC","Cambridge, MA"
EMP-0079,Anton,Ellery,Account Manager,Finance,Active,2017-02-24,1989-05-10,Female,anton.ellery@bramwellsm.com,"Bramwell Scientific Marketing, LLC","Cambridge, MA"
EMP-0080,Konrad,Marchetti,Account Manager,Paid Media,Active,2025-04-23,1995-04-22,Male,konrad.marchetti@bramwellsm.com,"Bramwell Scientific Marketing, LLC","Cambridge, MA"
EMP-0081,Tamsin,Lachlan,Senior Account Manager,Creative,Active,2020-09-16,1993-01-03,Female,tamsin.lachlan@bramwellsm.com,"Bramwell Scientific Marketing, LLC","Cambridge, MA"
EMP-0082,Ramona,Yarrow,Finance Director,Creative,Active,2022-05-02,1968-06-25,Male,ramona.yarrow@bramwellsm.com,"Bramwell Scientific Marketing, LLC","Cambridge, MA"
EMP-0083,Julian,Osgood,Account Manager,Analytics & Reporting,Active,2018-11-09,1990-12-15,Male,julian.osgood@bramwellsm.com,"Bramwell Scientific Marketing, LLC","Cambridge, MA"
EMP-0084,Desmond,Pemberton,Account Manager,Analytics & Reporting,Active,2024-12-14,1985-02-03,Female,desmond.pemberton@bramwellsm.com,"Bramwell Scientific Marketing, LLC","Cambridge, MA"
EMP-0085,Yolanda,Sorrentino,Associate Account Manager,Creative,Active,2018-09-02,1996-10-18,Male,yolanda.sorrentino@bramwellsm.com,"Bramwell Scientific Marketing, LLC","Cambridge, MA"
EMP-0086,Bastian,Kirchner,Senior Account Manager,Client Strategy,Active,2018-07-05,1986-05-12,Male,bastian.kirchner@bramwellsm.com,"Bramwell Scientific Marketing, LLC","Cambridge, MA"
EMP-0087,Gideon,Faircloth,Account Manager,Analytics & Reporting,Active,2016-06-07,1992-11-04,Female,gideon.faircloth@bramwellsm.com,"Bramwell Scientific Marketing, LLC","Cambridge, MA"
