parent,lead
Harborlight Bio,Klaus Lindqvist
Highfield Instruments,Lucas Volkov
Highfield Instruments,Nathan Castellanos
Isley Reagents,Umar Delgado
Isley Reagents,Esther Moreau
Isley Reagents,Gustav Zajac
Ivywood Assays,Yara Hoffmann
Ivywood Assays,Fiorella Eriksson
Ivywood Assays,Jamal Wei
Jerbrook Diagnostics,Kofi Farouk
Jerbrook Diagnostics,Ishaan Marchetti
Jerbrook Diagnostics,Freya Kekoa
Junction Reagents,Mikhail Nikolic
Junction Reagents,Petra Terzic
Kadence Diagnostics,Priyanka Janik
Kadence Diagnostics,Fatima Hoffmann
Kestrel Diagnostics,Gustav Dahl
Kestrel Diagnostics,Cormac Nazarov
Kestrel Diagnostics,Aisha Larsen
Keswick Genomics,Owen Mancini
Keswick Genomics,Larisa Ashworth
Kilburn Molecular,Owen Nazarov
Kilburn Molecular,Farah Nikolic
Kilburn Molecular,Umar Chandra
Larkspur Bio,Felix Castellanos
Larkspur Bio,Henry Radu
Larkspur Bio,Selin Solheim
Ledbury Assays,Devon Mancini
Ledbury Assays,Idris Lundgren
Ledbury Assays,Marcus Cortez
Lyndhurst Instruments,Torsten Yilmaz
Lyndhurst Instruments,Wren Ibori
Marston Bio,Petra Ustinov
Marston Bio,Sofia Iyer
Meadowbrook Genomics,Aroha Radu
Meadowbrook Genomics,Amir Wisniewski
Meadowbrook Genomics,Tariq Beaulieu
Merit BioScience,Devon Eriksson
Merit BioScience,Oscar Kowalski
Merit BioScience,Malia Lombardi
Nettleford Bio,Umar Sato
Nettleford Bio,Boris Sato
Newbury Instruments,Wei Al-Sayed
Newbury Instruments,Elena Radu
Newbury Instruments,Cormac Terzic
Northgate BioLabs,Pia Beringer
Northgate BioLabs,Quinn Ainsley
Northgate BioLabs,Leila Ainsley
Norwich Bioinstruments,Paloma Okafor
Norwich Bioinstruments,Cormac Osei
Norwich Bioinstruments,Sofia Tanaka
Oakenwood Diagnostics,Mateus Ainsley
Oakenwood Diagnostics,Larisa Tanaka
Orleans Genomics,Kenji Sokolova
Orleans Genomics,Fiorella Moreau
Orleans Genomics,Grace Lombardi
Pemberton Diagnostics,Sofia Vasquez
Pemberton Diagnostics,Callum Eriksson
Pemberton Diagnostics,Amelia Nakamura
Pentworth Molecular,Hana Moreau
Pentworth Molecular,Dahlia Okafor
Quaywater BioLabs,Ishaan Janik
Quaywater BioLabs,Owen Weiss
Quenton BioLabs,Malia Rivas
Quenton BioLabs,Hana Nikolic
Quenton BioLabs,Nadia Quintero
Radial Biosystems,Stellan Vasquez
Radial Biosystems,Priyanka Gagnon
Radial Biosystems,Alistair Osei
Ramsey Analytical,Edvard Ferreira
Ramsey Analytical,Priyanka Lindqvist
Ramsey Analytical,Tariq Vasquez
Rowton Reagents,Quentin Onyekachi
Rowton Reagents,Chen Tanaka
Sedgwick Reagents,Priyanka Zimmerman
Sedgwick Reagents,Vikram Nakamura
Sedgwick Reagents,Ingrid Verma
Selby Instruments,Vikram Rivas
Selby Instruments,Vera Zajac
Silverpine Therapeutics,Nathan Mancini
Silverpine Therapeutics,Zane Ibori
Silverpine Therapeutics,Sofia Sokolov
Sutherland Reagents,Wren Kekoa
Sutherland Reagents,Edvard Booker
Sutherland Reagents,Nia Chiu
Tavistock Assays,Ana Ulrich
Tavistock Assays,Tariq Isaev
Thornbury BioScience,Bianca Vukovic
Thornbury BioScience,Bianca Nowak
Trellis Molecular,Esther Kapoor
Trellis Molecular,Yuki Quintero
Trellis Molecular,Amir Petrov
Underhill Bio,Nia Papadopoulos
Underhill Bio,Rangi Rowe
Underhill Bio,Chen Ustinov
Vallon Instruments,Esther Ustinov
Vallon Instruments,Yasmin Yilmaz
Verona Assays,Aisha Novak
Verona Assays,Aroha Ulrich
Verona Assays,Oscar Kapoor
Whitfield Diagnostics,Kenji Rivas
Whitfield Diagnostics,Meredith Isaev
Whitfield Diagnostics,Jovana Kapoor
Willowmere Diagnostics,Yuki Vukovic
Willowmere Diagnostics,Nikolai Radu
Windrow Scientific,Ravi Janik
Windrow Scientific,Leila Cabrera
Windrow Scientific,Imani Ostrowski
Wintergreen BioScience,Xander Nowak
Wintergreen BioScience,Chen Quintero
Wrenfield Scientific,Pia Marchetti
Xanthe Instruments,Larisa Novak
Xanthe Instruments,Ingrid Isaev
Xanthe Instruments,Hana Haddad
Yardsley Analytical,Quentin Beauchamp
Yardsley Analytical,Grace Ulrich
Yorktown Bioscience,Aroha Wei
Yorktown Bioscience,Lucas Tanaka
Yorktown Bioscience,Zara Nowak
Zenith Bio,Farah Wisniewski
Zenith Bio,Idris Verma
Zephyr Genomics,Idris Petrescu
Zephyr Genomics,Sofia Chiu
Zephyr Genomics,Priya Al-Sayed
