status,first_name,last_name,company_name,email_id,mobile_no,country,source,territory,salutation,middle_name,job_title,lead_owner,type,website,city,state,phone,whatsapp_no,qualification_status,blog_subscriber,no_of_employees,annual_revenue,language,industry,market_segment,gender,fax
Opportunity,Kenji,Moreau,Chartwell Instruments,k.moreau@chartwellinst.com,,United States,Inbound — RFP,,,,,Devon Blackthorne,Client,,,,,,Qualified,0,,138000.0,,,,,
Interested,Tariq,Onyekachi,Draycott Genomics,t.onyekachi@draycottgx.com,,United States,Conference — Bio-IT World,,,,,Sun-Hi Park,Client,,,,,,In Process,0,,61000.0,,,,,
Lead,Deepak,Beaulieu,Elmwood BioScience,d.beaulieu@elmwoodbio.com,,United States,Product trial — Website,,,,,,,,,,,,Unqualified,0,,,,,,,
Interested,Stellan,Ulrich,Ferncliff Diagnostics,s.ulrich@ferncliffdx.com,,United States,Webinar — Diagnostics ROI,,,,,Kenji Watanabe,Client,,,,,,In Process,0,,46000.0,,,,,
Replied,Petra,Cabrera,Gairloch Analytical,p.cabrera@gairlochanalytical.com,,United States,Content download — Case Study,,,,,Erik Vaskovic,Client,,,,,,In Process,0,,19500.0,,,,,
Lead,Boris,Baumann,Harborlight Bio,b.baumann@harborlightbio.com,,United States,Product trial — Referral link,,,,,,,,,,,,Unqualified,0,,,,,,,
Interested,Umar,Delgado,Isley Reagents,u.delgado@isleyreagents.com,,United States,Inbound — Demo request,,,,,Marisol Aguirre,Client,,,,,,In Process,0,,28500.0,,,,,
Interested,Kofi,Farouk,Jerbrook Diagnostics,k.farouk@jerbrookdx.com,,United States,Outbound — SDR sequence,,,,,Tomasz Bergstrom,Client,,,,,,In Process,0,,52000.0,,,,,
Opportunity,Owen,Nazarov,Kilburn Molecular,o.nazarov@kilburnmol.com,,United States,Conference — SLAS 2025,,,,,Rachel Ohaeri,Client,,,,,,Qualified,0,,94000.0,,,,,
Lead,Devon,Mancini,Ledbury Assays,d.mancini@ledburyassays.com,,United States,Product trial — Blog CTA,,,,,,,,,,,,Unqualified,0,,,,,,,
Opportunity,Devon,Eriksson,Merit BioScience,d.eriksson@meritbio.com,,United States,Referral — Existing client,,,,,Devon Blackthorne,Client,,,,,,Qualified,0,,165000.0,,,,,
Interested,Wei,Al-Sayed,Newbury Instruments,w.al-sayed@newburyinst.com,,United States,LinkedIn — Sponsored Content,,,,,Sun-Hi Park,Client,,,,,,In Process,0,,30000.0,,,,,
Interested,Kenji,Sokolova,Orleans Genomics,k.sokolova@orleansgx.com,,United States,Warm intro — Advisor,,,,,Kenji Watanabe,Client,,,,,,In Process,0,,76500.0,,,,,
Lead,Sofia,Vasquez,Pemberton Diagnostics,s.vasquez@pembertondx.com,,United States,Product trial — Website,,,,,,,,,,,,Unqualified,0,,,,,,,
Interested,Malia,Rivas,Quenton BioLabs,m.rivas@quentonbiolabs.com,,United States,Conference — AACC 2025,,,,,Erik Vaskovic,Client,,,,,,In Process,0,,44000.0,,,,,
Lead,Edvard,Ferreira,Ramsey Analytical,e.ferreira@ramseyanalytical.com,,United States,Product trial — Free tier,,,,,,,,,,,,Unqualified,0,,,,,,,
Lead,Wren,Kekoa,Sutherland Reagents,w.kekoa@sutherlandreagents.com,,United States,Product trial — Google Ad,,,,,,,,,,,,Unqualified,0,,,,,,,
Opportunity,Esther,Kapoor,Trellis Molecular,e.kapoor@trellismol.com,,United States,Analyst inquiry,,,,,Tomasz Bergstrom,Client,,,,,,Qualified,0,,102000.0,,,,,
Interested,Nia,Papadopoulos,Underhill Bio,n.papadopoulos@underhillbio.com,,United States,Content download — Whitepaper,,,,,Rachel Ohaeri,Client,,,,,,In Process,0,,37500.0,,,,,
Lead,Aisha,Novak,Verona Assays,a.novak@veronaassays.com,,United States,Product trial — Free tier,,,,,,,,,,,,Unqualified,0,,,,,,,
Interested,Kenji,Rivas,Whitfield Diagnostics,k.rivas@whitfielddx.com,,United States,Referral — Partner,,,,,Devon Blackthorne,Client,,,,,,In Process,0,,58000.0,,,,,
Interested,Larisa,Novak,Xanthe Instruments,l.novak@xantheinst.com,,United States,Inbound — Demo request,,,,,Sun-Hi Park,Client,,,,,,In Process,0,,89000.0,,,,,
Interested,Aroha,Wei,Yorktown Bioscience,a.wei@yorktownbio.com,,United States,Conference — MEDICA 2025,,,,,Kenji Watanabe,Client,,,,,,In Process,0,,42500.0,,,,,
Lead,Idris,Petrescu,Zephyr Genomics,i.petrescu@zephyrgx.com,,United States,Product trial — Website,,,,,,,,,,,,Unqualified,0,,,,,,,
Interested,Giulia,Quintero,Alderman Diagnostics,g.quintero@aldermandx.com,,United States,Outbound — SDR sequence,,,,,Erik Vaskovic,Client,,,,,,In Process,0,,50000.0,,,,,
Replied,Priya,Sato,Bosworth BioScience,p.sato@bosworthbio.com,,United States,LinkedIn — Sponsored Content,,,,,Marisol Aguirre,Client,,,,,,In Process,0,,21500.0,,,,,
Lead,Idris,Hoffmann,Colvin Reagents,i.hoffmann@colvinreagents.com,,United States,Product trial — Organic search,,,,,,,,,,,,Unqualified,0,,,,,,,
Interested,Mikhail,Marchand,Deerfield Molecular,m.marchand@deerfieldmol.com,,United States,Webinar — Diagnostics ROI,,,,,Tomasz Bergstrom,Client,,,,,,In Process,0,,67000.0,,,,,
Interested,Idris,Dahl,Estwick Instruments,i.dahl@estwickinst.com,,United States,Trade publication — GEN,,,,,Rachel Ohaeri,Client,,,,,,In Process,0,,33000.0,,,,,
Lead,Bianca,Baumann,Fairhaven Analytical,b.baumann@fairhavenanalytical.com,,United States,Product trial — Free tier,,,,,,,,,,,,Unqualified,0,,,,,,,
Opportunity,Paloma,Falcon,Glenridge BioLabs,p.falcon@glenridgebiolabs.com,,United States,Inbound — RFP,,,,,Devon Blackthorne,Client,,,,,,Qualified,0,,148000.0,,,,,
Interested,Edvard,Petrov,Halewood Diagnostics,e.petrov@halewooddx.com,,United States,Conference — AACC 2025,,,,,Sun-Hi Park,Client,,,,,,In Process,0,,54500.0,,,,,
Replied,Yara,Hoffmann,Ivywood Assays,y.hoffmann@ivywoodassays.com,,United States,Content download — Case Study,,,,,Kenji Watanabe,Client,,,,,,In Process,0,,17500.0,,,,,
Lead,Mikhail,Nikolic,Junction Reagents,m.nikolic@junctionreagents.com,,United States,Product trial — Website,,,,,,,,,,,,Unqualified,0,,,,,,,
Interested,Owen,Mancini,Keswick Genomics,o.mancini@keswickgx.com,,United States,Referral — Existing client,,,,,Erik Vaskovic,Client,,,,,,In Process,0,,71000.0,,,,,
Interested,Torsten,Yilmaz,Lyndhurst Instruments,t.yilmaz@lyndhurstinst.com,,United States,Conference — Bio-IT World,,,,,Marisol Aguirre,Client,,,,,,In Process,0,,46500.0,,,,,
Lead,Petra,Ustinov,Marston Bio,p.ustinov@marstonbio.com,,United States,Product trial — Google Ad,,,,,,,,,,,,Unqualified,0,,,,,,,
Interested,Mateus,Ainsley,Oakenwood Diagnostics,m.ainsley@oakenwooddx.com,,United States,Outbound — SDR sequence,,,,,Tomasz Bergstrom,Client,,,,,,In Process,0,,38000.0,,,,,
Opportunity,Hana,Moreau,Pentworth Molecular,h.moreau@pentworthmol.com,,United States,Warm intro — Advisor,,,,,Rachel Ohaeri,Client,,,,,,Qualified,0,,122000.0,,,,,
Lead,Ishaan,Janik,Quaywater BioLabs,i.janik@quaywaterbiolabs.com,,United States,Product trial — Blog CTA,,,,,,,,,,,,Unqualified,0,,,,,,,
Interested,Quentin,Onyekachi,Rowton Reagents,q.onyekachi@rowtonreagents.com,,United States,Webinar — Q4 Genomics Series,,,,,Devon Blackthorne,Client,,,,,,In Process,0,,27500.0,,,,,
Interested,Ana,Ulrich,Tavistock Assays,a.ulrich@tavistockassays.com,,United States,LinkedIn — Sponsored Content,,,,,Sun-Hi Park,Client,,,,,,In Process,0,,41000.0,,,,,
Lead,Xander,Baumann,Uxbridge Genomics,x.baumann@uxbridgegx.com,,United States,Product trial — Organic search,,,,,,,,,,,,Unqualified,0,,,,,,,
Opportunity,Esther,Ustinov,Vallon Instruments,e.ustinov@valloninst.com,,United States,Conference — MEDICA 2025,,,,,Kenji Watanabe,Client,,,,,,Qualified,0,,98500.0,,,,,
Interested,Xander,Nowak,Wintergreen BioScience,x.nowak@wintergreenbio.com,,United States,Analyst inquiry,,,,,Erik Vaskovic,Client,,,,,,In Process,0,,63000.0,,,,,
Lead,Quentin,Beauchamp,Yardsley Analytical,q.beauchamp@yardsleyanalytical.com,,United States,Product trial — Website,,,,,,,,,,,,Unqualified,0,,,,,,,
Replied,Farah,Wisniewski,Zenith Bio,f.wisniewski@zenithbio.com,,United States,Content download — Whitepaper,,,,,Marisol Aguirre,Client,,,,,,In Process,0,,20000.0,,,,,
Interested,Pia,Marchetti,Wrenfield Scientific,p.marchetti@wrenfieldscientific.com,,United States,Referral — Partner,,,,,Tomasz Bergstrom,Client,,,,,,In Process,0,,59000.0,,,,,
Interested,Callum,Ostrowski,Everglade Diagnostics,c.ostrowski@everglade-dx.com,,United States,Inbound — Demo request,,,,,Rachel Ohaeri,Client,,,,,,In Process,0,,47500.0,,,,,
Lead,Petra,Nowak,Longacre Labs,p.nowak@longacrelabs.com,,United States,Product trial — Free tier,,,,,,,,,,,,Unqualified,0,,,,,,,
Interested,Lucas,Volkov,Highfield Instruments,l.volkov@highfieldinst.com,,United States,Conference — SLAS 2025,,,,,Devon Blackthorne,Client,,,,,,In Process,0,,52000.0,,,,,
Interested,Noor,Delgado,Hallmark Molecular,n.delgado@hallmarkmol.com,,United States,Outbound — SDR sequence,,,,,Sun-Hi Park,Client,,,,,,In Process,0,,34500.0,,,,,
Lead,Kofi,Ibori,Palladium Assays,k.ibori@palladiumassays.com,,United States,Product trial — Website,,,,,,,,,,,,Unqualified,0,,,,,,,
Replied,Lucas,Ulrich,Coastwise Reagents,l.ulrich@coastwisereagents.com,,United States,Webinar — Diagnostics ROI,,,,,Kenji Watanabe,Client,,,,,,In Process,0,,22500.0,,,,,
Interested,Umar,Sato,Nettleford Bio,u.sato@nettlefordbio.com,,United States,Trade publication — GEN,,,,,Erik Vaskovic,Client,,,,,,In Process,0,,39000.0,,,,,
Opportunity,Priyanka,Janik,Kadence Diagnostics,p.janik@kadencedx.com,,United States,Referral — Existing client,,,,,Marisol Aguirre,Client,,,,,,Qualified,0,,87000.0,,,,,
Lead,Deepak,Iyer,Ashland Genomics,d.iyer@ashlandgx.com,,United States,Product trial — Google Ad,,,,,,,,,,,,Unqualified,0,,,,,,,
Interested,Farah,Krishnamurthy,Brixton Reagents,f.krishnamurthy@brixtonreagents.com,,United States,Conference — AACC 2025,,,,,Tomasz Bergstrom,Client,,,,,,In Process,0,,56500.0,,,,,
Interested,Yuki,Vukovic,Willowmere Diagnostics,y.vukovic@willowmeredx.com,,United States,LinkedIn — Sponsored Content,,,,,Rachel Ohaeri,Client,,,,,,In Process,0,,43000.0,,,,,
Lead,Vikram,Rivas,Selby Instruments,v.rivas@selbyinst.com,,United States,Product trial — Blog CTA,,,,,,,,,,,,Unqualified,0,,,,,,,
Interested,Bianca,Vukovic,Thornbury BioScience,b.vukovic@thornburybio.com,,United States,Inbound — Demo request,,,,,Devon Blackthorne,Client,,,,,,In Process,0,,65000.0,,,,,
Replied,Selin,Ahmed,Argent Molecular,s.ahmed@argentmol.com,,United States,Content download — Case Study,,,,,Sun-Hi Park,Client,,,,,,In Process,0,,18500.0,,,,,
Opportunity,Keiko,Rowe,Beacon Assay Systems,k.rowe@beaconassay.com,,United States,Warm intro — Advisor,,,,,Kenji Watanabe,Client,,,,,,Qualified,0,,110000.0,,,,,
Lead,Jonas,Enescu,Cove Instruments,j.enescu@coveinst.com,,United States,Product trial — Referral link,,,,,,,,,,,,Unqualified,0,,,,,,,
Interested,Simone,Vasquez,Delaney BioScience,s.vasquez@delaneybio.com,,United States,Conference — Bio-IT World,,,,,Erik Vaskovic,Client,,,,,,In Process,0,,48500.0,,,,,
Interested,Nikolai,Papadopoulos,Enfield Reagents,n.papadopoulos@enfieldreagents.com,,United States,Outbound — SDR sequence,,,,,Marisol Aguirre,Client,,,,,,In Process,0,,31500.0,,,,,
Lead,Magnus,Rivas,Fenland Diagnostics,m.rivas@fenlanddx.com,,United States,Product trial — Website,,,,,,,,,,,,Unqualified,0,,,,,,,
Interested,Elena,Isaev,Corvex Molecular,e.isaev@corvexmol.com,,United States,Webinar — Q4 Genomics Series,,,,,Tomasz Bergstrom,Client,,,,,,In Process,0,,40000.0,,,,,
Opportunity,Priyanka,Gagnon,Radial Biosystems,p.gagnon@radialbio.com,,United States,LinkedIn — Sponsored Content,,,,,Rachel Ohaeri,Client,,,,,,Qualified,0,,132000.0,,,,,
Lead,Henry,Radu,Larkspur Bio,h.radu@larkspurbio.com,,United States,Product trial — Free tier,,,,,,,,,,,,Unqualified,0,,,,,,,
Interested,Wei,Onyekachi,Ashcroft Assays,w.onyekachi@ashcroftassays.com,,United States,Trade publication — GEN,,,,,Devon Blackthorne,Client,,,,,,In Process,0,,36500.0,,,,,
Interested,Malia,Chandra,Bellwether Reagents,m.chandra@bellwetherreagents.com,,United States,Referral — Partner,,,,,Sun-Hi Park,Client,,,,,,In Process,0,,52500.0,,,,,
Lead,Dahlia,Marchand,Halcyon Analytical,d.marchand@halcyonanalytical.com,,United States,Product trial — Website,,,,,,,,,,,,Unqualified,0,,,,,,,
Lead,Amir,Wisniewski,Meadowbrook Genomics,a.wisniewski@meadowbrookgx.com,,United States,Product trial — Organic search,,,,,,,,,,,,Unqualified,0,,,,,,,
Opportunity,Zane,Ibori,Silverpine Therapeutics,z.ibori@silverpinetx.com,,United States,Inbound — RFP,,,,,Erik Vaskovic,Client,,,,,,Qualified,0,,158000.0,,,,,
Interested,Leila,Cabrera,Windrow Scientific,l.cabrera@windrowsci.com,,United States,Content download — Whitepaper,,,,,Marisol Aguirre,Client,,,,,,In Process,0,,29500.0,,,,,
Lead,Cormac,Osei,Norwich Bioinstruments,c.osei@norwichbio.com,,United States,Product trial — Google Ad,,,,,,,,,,,,Unqualified,0,,,,,,,
Interested,Cormac,Nazarov,Kestrel Diagnostics,c.nazarov@kestreldx.com,,United States,Analyst inquiry,,,,,Tomasz Bergstrom,Client,,,,,,In Process,0,,74000.0,,,,,
Interested,Quinn,Ainsley,Northgate BioLabs,q.ainsley@northgatebiolabs.com,,United States,Referral — Existing client,,,,,Rachel Ohaeri,Client,,,,,,In Process,0,,61500.0,,,,,
Lead,Vikram,Nakamura,Sedgwick Reagents,v.nakamura@sedgwickreagents.com,,United States,Product trial — Website,,,,,,,,,,,,Unqualified,0,,,,,,,
Opportunity,Klaus,Enescu,Ashvale Molecular,k.enescu@ashvalemol.com,,United States,Conference — SLAS 2025,,,,,Devon Blackthorne,Client,,,,,,Qualified,0,,103000.0,,,,,
Interested,Vikram,Volkov,Chartwell Instruments,v.volkov@chartwellinst.com,,United States,LinkedIn — Sponsored Content,,,,,Sun-Hi Park,Client,,,,,,In Process,0,,45500.0,,,,,
Lead,Larisa,Ulrich,Draycott Genomics,l.ulrich@draycottgx.com,,United States,Product trial — Blog CTA,,,,,,,,,,,,Unqualified,0,,,,,,,
Interested,Kofi,Kapoor,Elmwood BioScience,k.kapoor@elmwoodbio.com,,United States,Outbound — SDR sequence,,,,,Kenji Watanabe,Client,,,,,,In Process,0,,37000.0,,,,,
Lead,Kai,Volkov,Ferncliff Diagnostics,k.volkov@ferncliffdx.com,,United States,Product trial — Google Ad,,,,,,,,,,,,Unqualified,0,,,,,,,
Lead,Nia,Kallas,Gairloch Analytical,n.kallas@gairlochanalytical.com,,United States,Product trial — Free tier,,,,,,,,,,,,Unqualified,0,,,,,,,
Interested,Gustav,Tanaka,Harborlight Bio,g.tanaka@harborlightbio.com,,United States,Inbound — Demo request,,,,,Marisol Aguirre,Client,,,,,,In Process,0,,58000.0,,,,,
Interested,Esther,Moreau,Isley Reagents,e.moreau@isleyreagents.com,,United States,Content download — Case Study,,,,,Tomasz Bergstrom,Client,,,,,,In Process,0,,30500.0,,,,,
Interested,Ishaan,Marchetti,Jerbrook Diagnostics,i.marchetti@jerbrookdx.com,,United States,Conference — AACC 2025,,,,,Rachel Ohaeri,Client,,,,,,In Process,0,,49000.0,,,,,
Lead,Farah,Nikolic,Kilburn Molecular,f.nikolic@kilburnmol.com,,United States,Product trial — Website,,,,,,,,,,,,Unqualified,0,,,,,,,
Interested,Idris,Lundgren,Ledbury Assays,i.lundgren@ledburyassays.com,,United States,Referral — Partner,,,,,Devon Blackthorne,Client,,,,,,In Process,0,,44500.0,,,,,
Opportunity,Oscar,Kowalski,Merit BioScience,o.kowalski@meritbio.com,,United States,Conference — Bio-IT World,,,,,Sun-Hi Park,Client,,,,,,Qualified,0,,127000.0,,,,,
Interested,Elena,Radu,Newbury Instruments,e.radu@newburyinst.com,,United States,Outbound — SDR sequence,,,,,Kenji Watanabe,Client,,,,,,In Process,0,,35000.0,,,,,
Lead,Fiorella,Moreau,Orleans Genomics,f.moreau@orleansgx.com,,United States,Product trial — Google Ad,,,,,,,,,,,,Unqualified,0,,,,,,,
Interested,Callum,Eriksson,Pemberton Diagnostics,c.eriksson@pembertondx.com,,United States,Warm intro — Advisor,,,,,Erik Vaskovic,Client,,,,,,In Process,0,,69000.0,,,,,
Interested,Hana,Nikolic,Quenton BioLabs,h.nikolic@quentonbiolabs.com,,United States,LinkedIn — Sponsored Content,,,,,Marisol Aguirre,Client,,,,,,In Process,0,,41500.0,,,,,
Lead,Priyanka,Lindqvist,Ramsey Analytical,p.lindqvist@ramseyanalytical.com,,United States,Product trial — Referral link,,,,,,,,,,,,Unqualified,0,,,,,,,
Replied,Edvard,Booker,Sutherland Reagents,e.booker@sutherlandreagents.com,,United States,Analyst inquiry,,,,,Tomasz Bergstrom,Client,,,,,,In Process,0,,24500.0,,,,,
Interested,Yuki,Quintero,Trellis Molecular,y.quintero@trellismol.com,,United States,Webinar — Q4 Genomics Series,,,,,Rachel Ohaeri,Client,,,,,,In Process,0,,47000.0,,,,,
Interested,Rangi,Rowe,Underhill Bio,r.rowe@underhillbio.com,,United States,Content download — Whitepaper,,,,,Devon Blackthorne,Client,,,,,,In Process,0,,33500.0,,,,,
Lead,Aroha,Ulrich,Verona Assays,a.ulrich@veronaassays.com,,United States,Product trial — Free tier,,,,,,,,,,,,Unqualified,0,,,,,,,
Opportunity,Meredith,Isaev,Whitfield Diagnostics,m.isaev@whitfielddx.com,,United States,Inbound — RFP,,,,,Sun-Hi Park,Client,,,,,,Qualified,0,,141000.0,,,,,
Interested,Ingrid,Isaev,Xanthe Instruments,i.isaev@xantheinst.com,,United States,Conference — MEDICA 2025,,,,,Kenji Watanabe,Client,,,,,,In Process,0,,54000.0,,,,,
Lead,Lucas,Tanaka,Yorktown Bioscience,l.tanaka@yorktownbio.com,,United States,Product trial — Website,,,,,,,,,,,,Unqualified,0,,,,,,,
Interested,Sofia,Chiu,Zephyr Genomics,s.chiu@zephyrgx.com,,United States,Referral — Existing client,,,,,Erik Vaskovic,Client,,,,,,In Process,0,,82500.0,,,,,
Interested,Kai,Quintero,Alderman Diagnostics,k.quintero@aldermandx.com,,United States,Trade publication — GEN,,,,,Marisol Aguirre,Client,,,,,,In Process,0,,38500.0,,,,,
Lead,Klaus,Marchand,Bosworth BioScience,k.marchand@bosworthbio.com,,United States,Product trial — Organic search,,,,,,,,,,,,Unqualified,0,,,,,,,
Interested,Keiko,Kapoor,Colvin Reagents,k.kapoor@colvinreagents.com,,United States,Conference — SLAS 2025,,,,,Tomasz Bergstrom,Client,,,,,,In Process,0,,50500.0,,,,,
Replied,Selin,Wisniewski,Deerfield Molecular,s.wisniewski@deerfieldmol.com,,United States,Outbound — SDR sequence,,,,,Rachel Ohaeri,Client,,,,,,In Process,0,,21000.0,,,,,
Lead,Owen,Lundgren,Estwick Instruments,o.lundgren@estwickinst.com,,United States,Product trial — Blog CTA,,,,,,,,,,,,Unqualified,0,,,,,,,
Interested,Anika,Janik,Fairhaven Analytical,a.janik@fairhavenanalytical.com,,United States,LinkedIn — Sponsored Content,,,,,Devon Blackthorne,Client,,,,,,In Process,0,,32000.0,,,,,
Interested,Priyanka,Radu,Halewood Diagnostics,p.radu@halewooddx.com,,United States,Webinar — Diagnostics ROI,,,,,Kenji Watanabe,Client,,,,,,In Process,0,,46000.0,,,,,
Lead,Fiorella,Eriksson,Ivywood Assays,f.eriksson@ivywoodassays.com,,United States,Product trial — Website,,,,,,,,,,,,Unqualified,0,,,,,,,
Interested,Petra,Terzic,Junction Reagents,p.terzic@junctionreagents.com,,United States,Content download — Case Study,,,,,Erik Vaskovic,Client,,,,,,In Process,0,,28000.0,,,,,
Interested,Larisa,Ashworth,Keswick Genomics,l.ashworth@keswickgx.com,,United States,Analyst inquiry,,,,,Marisol Aguirre,Client,,,,,,In Process,0,,79000.0,,,,,
Lead,Wren,Ibori,Lyndhurst Instruments,w.ibori@lyndhurstinst.com,,United States,Product trial — Google Ad,,,,,,,,,,,,Unqualified,0,,,,,,,
Interested,Sofia,Iyer,Marston Bio,s.iyer@marstonbio.com,,United States,Conference — AACC 2025,,,,,Tomasz Bergstrom,Client,,,,,,In Process,0,,56000.0,,,,,
Interested,Larisa,Tanaka,Oakenwood Diagnostics,l.tanaka@oakenwooddx.com,,United States,Referral — Partner,,,,,Rachel Ohaeri,Client,,,,,,In Process,0,,42000.0,,,,,
Lead,Dahlia,Okafor,Pentworth Molecular,d.okafor@pentworthmol.com,,United States,Product trial — Free tier,,,,,,,,,,,,Unqualified,0,,,,,,,
Opportunity,Owen,Weiss,Quaywater BioLabs,o.weiss@quaywaterbiolabs.com,,United States,Warm intro — Advisor,,,,,Devon Blackthorne,Client,,,,,,Qualified,0,,95500.0,,,,,
Interested,Chen,Tanaka,Rowton Reagents,c.tanaka@rowtonreagents.com,,United States,Outbound — SDR sequence,,,,,Sun-Hi Park,Client,,,,,,In Process,0,,36000.0,,,,,
Interested,Tariq,Isaev,Tavistock Assays,t.isaev@tavistockassays.com,,United States,LinkedIn — Sponsored Content,,,,,Kenji Watanabe,Client,,,,,,In Process,0,,63500.0,,,,,
Lead,Kofi,Chiu,Uxbridge Genomics,k.chiu@uxbridgegx.com,,United States,Product trial — Website,,,,,,,,,,,,Unqualified,0,,,,,,,
Interested,Yasmin,Yilmaz,Vallon Instruments,y.yilmaz@valloninst.com,,United States,Conference — Bio-IT World,,,,,Erik Vaskovic,Client,,,,,,In Process,0,,48000.0,,,,,
Lead,Chen,Quintero,Wintergreen BioScience,c.quintero@wintergreenbio.com,,United States,Product trial — Website,,,,,,,,,,,,Unqualified,0,,,,,,,
Opportunity,Grace,Ulrich,Yardsley Analytical,g.ulrich@yardsleyanalytical.com,,United States,Inbound — RFP,,,,,Tomasz Bergstrom,Client,,,,,,Qualified,0,,134500.0,,,,,
Lead,Idris,Verma,Zenith Bio,i.verma@zenithbio.com,,United States,Product trial — Referral link,,,,,,,,,,,,Unqualified,0,,,,,,,
Interested,Alistair,Ostrowski,Bramford Scientific,a.ostrowski@bramfordsci.com,,United States,Content download — Whitepaper,,,,,Rachel Ohaeri,Client,,,,,,In Process,0,,31000.0,,,,,
Interested,Paloma,Booker,Everglade Diagnostics,p.booker@everglade-dx.com,,United States,Webinar — Q4 Genomics Series,,,,,Devon Blackthorne,Client,,,,,,In Process,0,,52000.0,,,,,
Lead,Vikram,Ostrowski,Longacre Labs,v.ostrowski@longacrelabs.com,,United States,Product trial — Google Ad,,,,,,,,,,,,Unqualified,0,,,,,,,
Interested,Nathan,Castellanos,Highfield Instruments,n.castellanos@highfieldinst.com,,United States,Referral — Existing client,,,,,Sun-Hi Park,Client,,,,,,In Process,0,,57500.0,,,,,
Opportunity,Amelia,Moreau,Hallmark Molecular,a.moreau@hallmarkmol.com,,United States,Analyst inquiry,,,,,Kenji Watanabe,Client,,,,,,Qualified,0,,107000.0,,,,,
Lead,Ximena,Nowak,Palladium Assays,x.nowak@palladiumassays.com,,United States,Product trial — Free tier,,,,,,,,,,,,Unqualified,0,,,,,,,
Interested,Torsten,Wei,Coastwise Reagents,t.wei@coastwisereagents.com,,United States,Outbound — SDR sequence,,,,,Erik Vaskovic,Client,,,,,,In Process,0,,38000.0,,,,,
Lead,Boris,Sato,Nettleford Bio,b.sato@nettlefordbio.com,,United States,Product trial — Website,,,,,,,,,,,,Unqualified,0,,,,,,,
Interested,Fatima,Hoffmann,Kadence Diagnostics,f.hoffmann@kadencedx.com,,United States,Conference — MEDICA 2025,,,,,Marisol Aguirre,Client,,,,,,In Process,0,,44500.0,,,,,
Replied,Sanjay,Dahl,Ashland Genomics,s.dahl@ashlandgx.com,,United States,LinkedIn — Sponsored Content,,,,,Tomasz Bergstrom,Client,,,,,,In Process,0,,19500.0,,,,,
Lead,Amir,Kapoor,Brixton Reagents,a.kapoor@brixtonreagents.com,,United States,Product trial — Organic search,,,,,,,,,,,,Unqualified,0,,,,,,,
